year,inflacion,pib_crecimiento,inflacion_var_interanual,pib_var_interanual,inflacion_ma3,pib_ma3,inflacion_tendencia,inflacion_residuo,pib_tendencia,pib_residuo
2011,4.87799830970702,4.40315923970431,-0.7847587744931905,-0.9571842866367994,6.127819023637923,2.963348941085878,6.657898340834436,-1.7799000311274158,3.963507966315987,0.4396512733883231
2012,4.49545314354605,4.88259241025739,-0.3825451661609698,0.47943317055307944,5.012069512484427,4.8820317254342696,6.10655316667885,-1.6111000231328,3.926729378533949,0.9558630317234407
2013,5.23133614174428,2.49476611209954,0.73588299819823,-2.3878262981578495,4.868262531665784,3.926839254020413,5.555207992523265,-0.3238718507789846,3.8899507907518966,-1.3951846786523565
2014,4.51920098516954,3.54210987765977,-0.7121351565747398,1.04734376556023,4.748663423486623,3.6398228000055664,5.003862818367679,-0.48466183319813894,3.8531722029698443,-0.31106232531007416
2015,0.801982005099623,3.65208096802883,-3.717218980069917,0.10997109036906005,3.517506377337815,3.2296523192627133,4.452517644212094,-3.6505356391124706,3.816393615187806,-0.16431264715897598
2016,-0.0174788505908217,4.20432325175899,-0.8194608556904447,0.5522422837301599,1.7679013798927812,3.7995046991491965,3.9011724700565082,-3.91865132064733,3.779615027405754,0.4247082243532363
2017,1.62590692991732,4.1576989627609,1.6433857805081418,-0.0466242889980899,0.8034700281420409,4.004701060849573,3.3498272959009228,-1.7239203659836027,3.7428364396237157,0.4148625231371845
2018,2.22111461526581,2.6159044043379,0.5952076853484898,-1.5417945584230002,1.2765142315307698,3.6593088729525967,2.7984821217453373,-0.5773675064795274,3.7060578518416634,-1.0901534475037633
2019,2.09604635327807,2.41751181762513,-0.12506826198773968,-0.19839258671277005,1.9810226328204006,3.0637050615746433,2.247136947589752,-0.1510905943116816,3.669279264059611,-1.251767446434481
2020,0.724911478131376,-4.27335432161462,-1.3711348751466943,-6.69086613923975,1.6806908155584193,0.2533539667828035,1.6957917734341663,-0.9708802953027903,3.632500676277573,-7.905854997892193
2021,1.72647755109241,7.93576224743147,1.001566072961034,12.20911656904609,1.515811794167286,2.0266399144806604,1.1444465992785808,0.5820309518138291,3.5957220884955206,4.34004015893595
2022,8.27477490232654,4.55149177958398,6.54829735123413,-3.3842704678474904,3.5753879771834423,2.7379665684669434,0.593101425122768,7.681673477203772,3.558943500713468,0.9925482788705118
2023,0.525193508693455,5.11192183224598,-7.749581393633084,0.5604300526620003,3.5088153207041355,5.8663919530871445,0.041756250967182496,0.48343725772627255,3.52216491293143,1.5897569193145502
2024,-0.412853001047069,4.32122429646145,-0.9380465097405241,-0.7906975357845303,2.795705136657642,4.66154596943047,-0.509588923188403,0.09673592214133397,3.4853863251493777,0.8358379713120723
